HR_clean,RA_deg,DEC_deg,Vmag
502,139.05030064,-57.54147386,4.3420501327514645
503,289.09205674,38.13373018,4.342259826660157
504,281.75527926,18.18151474,4.342949948310852
505,47.9073618,19.7266757,4.343460154533386
506,125.16057901,-77.48447572,4.343610024452209
507,52.64368819,47.99521392,4.34449010848999
508,234.51334783,-42.56734635,4.3446302318573
509,210.43125759,-45.60341726,4.345510230064392
510,186.73447237,28.26842484,4.347020077705383
511,61.17381933,22.08192654,4.350949788093567
512,9.63893624,29.31175207,4.3510800647735595
513,229.45765861,-30.14867667,4.354349761009217
514,178.22719726,-33.90809452,4.354359755516052
515,122.14853588,-2.98378544,4.3557398223876955
516,253.50196535,10.16536115,4.356900134086609
517,286.60479182,-37.06349317,4.358689918518066
518,10.83849872,-57.46306909,4.35963020324707
519,70.11045293,-19.67148449,4.360329885482788
520,104.31916384,58.42274437,4.360789966583252
521,353.24272496,-37.81827844,4.3610902643203735
522,216.54505012,-45.37926984,4.361220030784607
523,33.24998635,8.84672997,4.362010054588318
524,98.74407995,-52.97560661,4.365789928436279
525,94.13806878,-35.14051763,4.368230133056641
526,284.23761857,-67.23349812,4.368710160255432
527,73.22362271,-5.45269885,4.370069985389709
528,165.03860361,-42.22585363,4.3714798736572265
529,337.38258661,47.70688812,4.37436999797821
530,151.97612751,9.99750678,4.37576005935669
531,351.5116076,-20.64201578,4.377710137367249
532,295.26224442,17.47604483,4.379099912643433
533,104.03427079,-17.05423768,4.3792798137664795
534,295.02413159,18.01389215,4.379970216751099
535,275.80677423,-61.4939018,4.381959958076477
536,197.49702877,17.52944436,4.383080053329468
537,122.25681287,-19.24501484,4.383210043907166
538,83.70515583,9.48957657,4.383740091323853
539,91.89302608,14.76847246,4.386479806900025
540,288.43953049,39.14596968,4.388300151824951
541,215.75933285,-39.51181573,4.388819808959961
542,120.56640053,2.33457164,4.389450178146363
543,121.98250612,-68.61706563,4.3904197835922245
544,302.22229298,77.71142163,4.395949778556823
545,107.78486986,30.24516353,4.39673999786377
546,165.58239885,20.17984033,4.398970217704773
547,262.68462423,26.1106477,4.399360036849975
548,14.3016661,23.4176518,4.399730057716369
549,329.4794954,-54.99257315,4.4022798204422
550,225.72516114,2.09130414,4.403920021057129
551,88.59573271,20.27619413,4.404309868812561
552,95.94203484,4.59286794,4.404459829330444
553,0.49007782,-6.0140715,4.405000247955322
554,346.71974505,-43.52035831,4.410240163803101
555,218.15440271,-50.45716322,4.4103601980209355
556,349.70599725,-32.53202066,4.412740168571472
557,330.94771793,64.62796997,4.412970089912415
558,102.46381353,-53.62244777,4.416040258407593
559,269.62562215,30.18928273,4.417640013694763
560,114.70778595,-26.80383507,4.417830004692077
561,83.05313167,18.59423706,4.419039916992188
562,161.44584864,-80.5401905,4.421639771461487
563,57.38034525,65.52597221,4.422410006523132
564,236.61088938,7.3530724,4.422959861755371
565,310.86472592,15.07457822,4.425190067291259
566,122.83955809,-39.61854641,4.425489892959595
567,123.51217475,-40.34789127,4.427240204811096
568,270.43832947,1.30506816,4.429120154380798
569,92.984985,14.20876552,4.4293801212310795
570,305.96510065,32.19018145,4.430629887580872
571,351.34493244,23.40410164,4.431049752235412
